iter	Passed	Remaining
240	1205	3797
241	1209	3788
242	1212	3775
243	1227	3803
244	1230	3791
245	1234	3783
246	1238	3775
247	1241	3763
248	1243	3751
249	1246	3738
250	1248	3725
251	1250	3712
252	1315	3885
253	1318	3872
254	1324	3868
255	1326	3854
256	1328	3842
257	1331	3829
258	1334	3816
259	1338	3808
260	1340	3795
261	1343	3783
262	1345	3771
263	1356	3780
264	1425	3952
265	1439	3973
266	1442	3961
267	1451	3964
268	1455	3955
269	1518	4105
270	1521	4093
271	1524	4080
272	1527	4067
273	1540	4080
274	1543	4069
275	1548	4061
276	1551	4048
277	1553	4035
278	1565	4046
279	1569	4035
280	1572	4023
281	1585	4037
282	1588	4024
283	1591	4012
284	1596	4004
285	1599	3992
286	1616	4015
287	1619	4002
288	1625	3999
289	1628	3987
290	1631	3974
291	1634	3962
292	1641	3960
293	1655	3976
294	1659	3966
295	1690	4019
296	1693	4008
297	1696	3995
298	1699	3984
299	1711	3994
300	1714	3981
301	1721	3979
302	1724	3967
303	1727	3954
304	1729	3941
305	1742	3951
306	1744	3938
307	1747	3926
308	1751	3917
309	1754	3904
310	1756	3892
311	1763	3887
312	1769	3884
313	1772	3872
314	1775	3861
315	1811	3921
316	1818	3918
317	1821	3905
318	1833	3913
319	1835	3901
320	1838	3889
321	1841	3877
322	1847	3872
323	1850	3861
324	1919	3986
325	1922	3975
326	1930	3972
327	1932	3960
328	1935	3947
329	1938	3935
330	1945	3933
331	1948	3921
332	1951	3908
333	1954	3896
334	2003	3976
335	2013	3979
336	2017	3968
337	2020	3956
338	2024	3947
339	2027	3935
340	2030	3923
341	2034	3914
342	2040	3907
343	2064	3936
344	2067	3924
345	2071	3915
346	2074	3904
347	2085	3907
348	2088	3894
349	2090	3881
350	2092	3869
351	2094	3856
352	2099	3848
353	2103	3839
354	2106	3826
355	2108	3814
356	2111	3802
357	2168	3888
358	2171	3877
359	2176	3869
360	2182	3863
361	2186	3853
362	2194	3850
363	2200	3844
364	2210	3846
365	2232	3866
366	2235	3855
367	2238	3843
368	2249	3846
369	2252	3834
370	2254	3823
371	2262	3819
372	2266	3809
373	2269	3798
374	2313	3855
375	2317	3846
376	2320	3834
377	2324	3825
378	2328	3815
379	2330	3802
380	2333	3790
381	2335	3778
382	2345	3779
383	2402	3853
384	2405	3842
385	2407	3830
386	2410	3817
387	2412	3805
388	2417	3797
389	2420	3785
390	2422	3773
391	2424	3761
392	2435	3762
393	2442	3757
394	2504	3836
395	2507	3824
396	2509	3811
397	2512	3799
398	2517	3792
399	2520	3780
400	2523	3769
401	2528	3761
402	2533	3752
403	2537	3742
404	2583	3794
405	2585	3782
406	2636	3841
407	2670	3874
408	2672	3861
409	2674	3848
410	2679	3840
411	2682	3828
412	2684	3815
413	2686	3803
414	2689	3791
415	2693	3781
416	2695	3769
417	2698	3756
418	2700	3744
419	2702	3732
420	2705	3720
421	2707	3708
422	2709	3696
423	2713	3686
